"Call sign","Frequency","City of License [1][2]","Licensee [2][3]","Format [4]"
"WABN","1230 AM","Abingdon","Information Communications Corporation","Oldies"
"WACL","98.5 FM","Elkton","Capstar TX, LLC","Mainstream Rock"
"WAFX","106.9 FM","Suffolk","Tidewater Communications, LLC","Classic Rock"
"WAJL","1400 AM","South Boston","Linda Waller Barton","Southern Gospel\/Bluegrass"
"WAKG","103.3 FM","Danville","Piedmont Broadcasting Corporation","Country"
"WAMM","1230 AM","Woodstock","Shenandoah Valley Group, Inc.","Silent"
"WAMV","1420 AM","Amherst","Community First Broadcasters, Inc.","Southern Gospel\/Talk"
"WARN","91.5 FM","Culpeper","American Family Association","Religious"
"WARV-FM","100.3 FM","Petersburg","Alpha Media Licensee, LLC","Country"
"WAVA","780 AM","Arlington","Salem Media of Virginia, Inc.","Religious Talk"
"WAVA-FM","105.1 FM","Arlington","Salem Media of Virginia, Inc.","Religious Talk"
"WAXM","93.5 FM","Big Stone Gap","Valley Broadcasting and Communications, Inc.","Country"
"WAZR","93.7 FM","Woodstock","CC Licenses, LLC","Contemporary Hit Radio"
"WBBC-FM","93.5 FM","Blackstone","Denbar Communications, Inc.","Country"
"WBBT-FM","107.3 FM","Powhatan","Alpha Media Licensee, LLC","Classic Hits"
"WBCM-LP","100.1 FM","Bristol","Birthplace of Country Music, Inc.","Classic Country\/Bluegrass\/Americana"
"WBLB","1340 AM","Pulaski","WBLB, Inc","Southern Gospel\/Black Gospel"
"WBLT","1350 AM","Bedford","3 Daughters Media, Inc.","Sports"
"WBNN-FM","105.3 FM","Dillwyn","WKGM, Inc.","Country"
"WBOP","95.5 FM","Buffalo Gap","Liberty University, Inc.","Contemporary Christian"
"WBQB","101.5 FM","Fredericksburg","Centennial Licensing II, LLC","Adult Contemporary"
"WBQK","107.9 FM","West Point","Davis Media, LLC","Classical"
"WBRF","98.1 FM","Galax","Blue Ridge Radio, Inc.","Classic Country\/Bluegrass\/Americana"
"WBRG","1050 AM","Lynchburg","Tri-County Broadcasting, Inc.","News\/Talk\/Sports"
"WBRW","105.3 FM","Blacksburg","Cumulus Licensing, LLC","Active Rock"
"WBTJ","106.5 FM","Richmond","Capstar TX, LLC","Mainstream Urban"
"WBTK","1380 AM","Richmond","Mount Rich Media, LLC","Spanish Religious"
"WBTM","1330 AM","Danville","Piedmont Broadcasting Corporation","Classic Hits"
"WBTX","1470 AM","Broadway-Timberville","WBTX Radio, LLC","Southern Gospel"
"WBVA","1450 AM","Bayside","Birach Broadcasting Corporation","Silent"
"WBZS","102.5 FM","Shawsville","George S. Flinn, Jr.","News\/Talk"
"WCBX","900 AM","Bassett","Calvary Chapel of Twin Falls, Inc.","Conservative Religious"
"WCCA-LP","93.5 FM","Scottsville","Calvary Baptist Church","Contemporary Christian"
"WCDX","92.1 FM","Mechanicsville","Radio One Licenses, LLC","Mainstream Urban"
"WCFC-LP","93.7 FM","Richmond","Crusade For Christ Temple Church of God in Christ","Religious"
"WCHG","107.1 FM","Hot Springs","Pocahontas Communications Cooperative Corporation","Full Service\/Freeform"
"WCHV","1260 AM","Charlottesville","Monticello Media, LLC","News\/Talk"
"WCHV-FM","107.5 FM","Charlottesville","Monticello Media, LLC","News\/Talk"
"WCLM","1450 AM","Highland Springs","World Media Broadcast Company","Variety"
"WCNR","106.1 FM","Keswick","Saga Communications of Charlottesville, LLC","Adult Album Alternative\/Alternative Rock"
"WCNV","89.1 FM","Heathsville","Commonwealth Public Broadcasting Corporation","Public Radio"
"WCPK","1600 AM","Chesapeake","Chesapeake-Portsmouth Broadcasting Corporation","Urban Gospel"
"WCRW","1190 AM","Leesburg","Potomac Radio, LLC (Delaware)","Chinese News\/Talk"
"WCTG","96.5 FM","Chincoteague","Sebago Broadcasting Company","Adult Hits"
"WCVA","1490 AM","Culpeper","Piedmont Communications, Inc.","Adult Standards"
"WCVE-FM","88.9 FM","Richmond","Commonwealth Public Broadcasting Corporation","Public Radio"
"WCWM","90.9 FM","Williamsburg","The College of William & Mary in VA.","Variety"
